Диагноза,Симптоми,Лечение
Грип,"Треска, Висока температура, Умора, Изтощение","Антивирусни лекарства, Почивка, Рехидратация"
Алергичен ринит,"Кихане, Запушен нос, Синусова конгестия, Кашлица","Антихистамини, Деконгестанти"
Мигрена,"Главоболие, Мигрена, Замайване","Обезболяващи, Лекарства против мигрена"
Астма,"Задух, Недостиг на въздух, Диспнея","Инхалатори, Кортикостероиди"
Епилепсия,"Припадъци, Обърканост, Тремор","Антиконвулсанти, Редовно наблюдение от невролог"
Хронична обструктивна белодробна болест,"Задух, Диспнея, Хрипове","Бронходилататори, Инхалатори, Кислородотерапия"
Диария,"Диария, Коремно раздуване, Болка в стомаха","Рехидратация, Пробиотици"
Гастроентерит,"Повръщане, Диария, Коремно раздуване","Рехидратация, Почивка"
Ревматоиден артрит,"Болка в ставите, Скованост, Възпаление","Имуносупресори, Противовъзпалителни лекарства"
Бактериална пневмония,"Треска, Кашлица, Болка в гърдите","Антибиотици, Рехидратация"
Рак на белите дробове,"Кашлица, Болка в гърдите, Загуба на тегло","Хирургично лечение, Химиотерапия"
Паркинсонова болест,"Тремор, Скованост, Забавени движения","Лекарства за Паркинсон, Физиотерапия"
Меланом,"Издутина, Бучка, Кожна лезия","Хирургично лечение, Химиотерапия, Лъчетерапия"
Херпес зостер,"Обрив, Болка, Сърбеж","Антивирусни лекарства, Обезболяващи"
Екзема,"Зачервяване, Сърбеж, Кожни обриви","Локални стероиди, Овлажняващи средства"
Остеоартрит,"Болка в ставите, Скованост, Затруднено движение","Противовъзпалителни лекарства, Почивка, Физиотерапия"
Бронхит,"Кашлица, Болка в гърдите, Задух","Антибиотици, Бронходилататори"
Синузит,"Синусова конгестия, Главоболие, Болка в синусите","Антибиотици, Деконгестанти"
Депресия,"Тревожност, Депресия, Амнезия","Антидепресанти, Психотерапия"
Анорексия,"Загуба на тегло, Липса на апетит, Дехидратация","Психотерапия, Поддържане на нормално тегло"
